atm_id,periode_pred,denomination,amount_replenish,location
5367,2026-07-16,50000,100000000.0,BGR.ALFAMIDI PABUARAN CITAYAM
ZZ0T,2026-07-16,100000,30000000.0,JKT.SPBU 34-12701 WARUNG BUNCIT CRM
ZZ0V,2026-07-16,50000,140000000.0,TGR.DUNKIN DONUT METRO PERMATA CRM
ZZ0V,2026-07-16,100000,130000000.0,TGR.DUNKIN DONUT METRO PERMATA CRM
ZZ0W,2026-07-16,50000,50000000.0,JKT.DUNKIN DONUTS RADEN INTEN CRM
ZZ0W,2026-07-16,100000,280000000.0,JKT.DUNKIN DONUTS RADEN INTEN CRM
ZZ0Y,2026-07-16,50000,25000000.0,JKT.DUNKIN DONUTS PEJAGALAN CRM
ZZ0Y,2026-07-16,100000,280000000.0,JKT.DUNKIN DONUTS PEJAGALAN CRM
ZZ1B,2026-07-16,50000,15000000.0,JKT.APT MEDITERANIA GAJAH MADA CRM
ZZ1B,2026-07-16,100000,60000000.0,JKT.APT MEDITERANIA GAJAH MADA CRM
ZZ1C,2026-07-16,50000,35000000.0,BKS.ATMC SEGITIGA PEJUANG CRM
ZZ1C,2026-07-16,100000,280000000.0,BKS.ATMC SEGITIGA PEJUANG CRM
ZZ1N,2026-07-16,50000,35000000.0,BKS.GALLERY KINCAN RAYA CRM
ZZ1N,2026-07-16,100000,40000000.0,BKS.GALLERY KINCAN RAYA CRM
ZZ1Q,2026-07-16,50000,60000000.0,BKS.ATM CENTER RUKO MEGA REGENCY CRM
ZZ1Q,2026-07-16,100000,110000000.0,BKS.ATM CENTER RUKO MEGA REGENCY CRM
ZZ22,2026-07-16,50000,140000000.0,JKT.EBL CENTRAL PARK CRM 1 [VIP]
ZZ22,2026-07-16,100000,110000000.0,JKT.EBL CENTRAL PARK CRM 1 [VIP]
ZZ23,2026-07-16,50000,20000000.0,JKT.EBL.CITY WALK.CRM [VIP]
ZZ23,2026-07-16,100000,70000000.0,JKT.EBL.CITY WALK.CRM [VIP]
ZZ0T,2026-07-16,50000,25000000.0,JKT.SPBU 34-12701 WARUNG BUNCIT CRM
ZZ0P,2026-07-16,100000,140000000.0,TGR.SPBU34-15404 CIRENDEU CRM
ZZ0P,2026-07-16,50000,30000000.0,TGR.SPBU34-15404 CIRENDEU CRM
ZZ0G,2026-07-16,100000,280000000.0,JKT.SPBU KEMANGGISAN CRM
H123,2026-07-16,100000,280000000.0,JKT.SPBU Benzine 34-11405 Palmerah Utara
H127,2026-07-16,50000,20000000.0,JKT.CRM.Senayan Park
