ATMID,TYPEATMCRM,TELLERID,CABANG,STARTINGCASH50K,CASHIN50K,CASHOUT50K,CASPOSDENOM50K,STARTINGCASH100K,CASHIN100K,CASHOUT100K,CASPOSDENOM100K,"POSITION_SOURCE"
"A002      ",ATM100K,"Z4CB      ",47007,,0,,,30000000000,0,11380000000,18620000000,REPLENISH
"A008      ",ATM50K,"Z4CH      ",47007,30000000000,0,13390000000,16610000000,,0,,,CURRENT
"A015      ",ATM100K,"Z4CO      ",47007,,0,,,40000000000,0,27110000000,12890000000,CURRENT
"A024      ",ATM50K,"Z4CX      ",47007,30000000000,0,13550000000,16450000000,,0,,,CURRENT
"A025      ",ATM50K,"Z4CY      ",47007,36500000000,0,25930000000,10570000000,,0,,,CURRENT
"A027      ",ATM50K,"Z4D0      ",47007,32000000000,0,9345000000,22655000000,,0,,,CURRENT
"A052      ",ATM50K,"Z4DP      ",47007,25000000000,0,1855000000,23145000000,,0,,,REPLENISH
"A056      ",ATM50K,"Z4DT      ",47007,25000000000,0,16380000000,8620000000,,0,,,CURRENT
"A059      ",ATM100K,"Z4DW      ",47007,,0,,,27600000000,0,6880000000,20720000000,CURRENT
"A061      ",ATM100K,"Z4DY      ",47007,,0,,,75600000000,0,25090000000,50510000000,CURRENT
"A065      ",ATM50K,"Z4E2      ",47007,28000000000,0,2245000000,25755000000,,0,,,REPLENISH
"A067      ",ATM50K,"Z4E4      ",47007,30000000000,0,24535000000,5465000000,,0,,,REPLENISH
"A068      ",ATM100K,"Z4E5      ",47007,,0,,,40000000000,0,7720000000,32280000000,CURRENT
"A075      ",ATM50K,"Z4EC      ",47007,33500000000,0,17430000000,16070000000,,0,,,CURRENT
"A077      ",ATM50K,"Z4EE      ",47007,20000000000,0,5515000000,14485000000,,0,,,CURRENT
"A080      ",ATM50K,"Z4EH      ",47007,25000000000,0,215000000,24785000000,,0,,,REPLENISH
"A084      ",ATM100K,"Z4EL      ",47007,,0,,,34000000000,0,24380000000,9620000000,CURRENT
"A085      ",ATM50K,"Z4EM      ",47007,15000000000,0,395000000,14605000000,,0,,,REPLENISH
"A089      ",ATM50K,"Z4EQ      ",47007,30000000000,0,10805000000,19195000000,,0,,,CURRENT
