TGLREPLENISH,JAMREPLENISH,ATMID,TYPEATMCRM,TELLERID,CABANG,ESCROW,REFUNDDENOM50K,REFUNDDENOM100K,REFUNDTOTAL,REPLENISHDENOM50K,REPLENISHDENOM100K,REPLENISHTOTAL
1260818,111507,"2095      ",ATM100K,"Z0PI      ",27004,0000000000000000000,0,5950000000,5950000000,0,20000000000,20000000000
1260818,141219,"2635      ",ATM100K,"Z0S1      ",8037,0000000000000000000,0,9670000000,9670000000,0,20000000000,20000000000
1260818,103309,"ZZUX      ",CRM,"W45X      ",47007,0000000800164118500,11895000000,24880000000,36775000000,20000000000,28000000000,48000000000
1260818,162010,"ZZQY      ",CRM,"W41Y      ",37003,0000000000000000000,2305000000,8160000000,10465000000,5000000000,20000000000,25000000000
1260818,85842,"ZZDI      ",CRM,"W26I      ",24008,0000000000000000000,21950000000,65940000000,87890000000,2000000000,2000000000,4000000000
1260818,105143,"ZZFL      ",CRM,"W29L      ",30,0000000000000000000,4425000000,8950000000,13375000000,2000000000,4000000000,6000000000
1260818,94912,"ZZ0V      ",CRM,"W03V      ",47007,0000000800164118500,7175000000,32550000000,39725000000,9500000000,28000000000,37500000000
1260818,210612,"1786      ",ATM50K,"Z0JA      ",47007,0000000800178531200,6205000000,0,6205000000,23000000000,0,23000000000
1260818,153353,"8390      ",ATM50K,"Z2P8      ",27519,0000000000000000000,8130000000,0,8130000000,8000000000,0,8000000000
1260818,113058,"3690      ",ATM50K,"Z1B9      ",39083,0000000000000000000,13020000000,0,13020000000,20000000000,0,20000000000
1260818,95120,"ZZYR      ",CRM,"W49R      ",47007,0000000800164118500,3610000000,13970000000,17580000000,5000000000,10000000000,15000000000
1260818,151310,"1228      ",ATM50K,"Z060      ",39041,0000000000000000000,5595000000,0,5595000000,16500000000,0,16500000000
1260818,120929,"1445      ",ATM50K,"Z0BI      ",34037,0000000000000000000,12070000000,0,12070000000,15000000000,0,15000000000
1260818,152209,"8087      ",ATM100K,"Z2I7      ",8016,0000000000000000000,0,6310000000,6310000000,0,10000000000,10000000000
1260818,103922,"A924      ",ATM50K,"Z7DT      ",31503,0000000000000000000,0,0,0,0,0,5000000000
1260818,33726,"1477      ",ATM50K,"Z0CD      ",47007,0000000800181276100,8870000000,0,8870000000,18000000000,0,18000000000
1260818,181323,"A092      ",ATM50K,"Z4ET      ",47007,0000000800034804500,7970000000,0,7970000000,27000000000,0,27000000000
1260818,151645,"ZZER      ",CRM,"W27R      ",39042,0000000000000000000,3780000000,14890000000,18670000000,2000000000,8000000000,10000000000
1260818,155245,"ZZ07      ",CRM,"W00A      ",47007,0000000800164118500,475000000,23830000000,24305000000,1500000000,28000000000,29500000000
