TGLREPLENISH,JAMREPLENISH,ATMID,TYPEATMCRM,TELLERID,CABANG,ESCROW,REFUNDDENOM50K,REFUNDDENOM100K,REFUNDTOTAL,REPLENISHDENOM50K,REPLENISHDENOM100K,REPLENISHTOTAL
1260819,83023,"1999      ",ATM50K,"Z0OL      ",32016,0000000000000000000,0,0,0,0,0,5000000000
1260819,111229,"ZZ6P      ",CRM,"W12P      ",47007,0000000800034858700,4965000000,9450000000,14415000000,5000000000,10000000000,15000000000
1260819,150254,"ZZRL      ",CRM,"W42L      ",39068,0000000000000000000,1880000000,16760000000,18640000000,5000000000,5000000000,10000000000
1260819,171905,"ZZKU      ",CRM,"W35U      ",8037,0000000000000000000,0,0,0,0,0,0
1260819,103005,"4999      ",ATM50K,"Z3JR      ",47007,0000000800178538600,1225000000,0,1225000000,15000000000,0,15000000000
1260819,150830,"A240      ",ATM100K,"Z4IY      ",47007,0000000800034997200,0,4260000000,4260000000,0,14400000000,14400000000
1260819,182036,"ZZOF      ",CRM,"W39F      ",12007,0000000000000000000,3540000000,5400000000,8940000000,4000000000,6000000000,10000000000
1260819,114438,"H175      ",CRM,"W56E      ",47007,0000000800034805600,750000000,880000000,1630000000,10000000000,20000000000,30000000000
1260819,94854,"ZZR8      ",CRM,"W23R      ",23010,0000000000000000000,2575000000,24640000000,27215000000,2000000000,4000000000,6000000000
1260819,105143,"5444      ",ATM50K,"Z3SQ      ",47007,0000000800164118500,6180000000,0,6180000000,11500000000,0,11500000000
1260819,90115,"4099      ",ATM100K,"Z2XH      ",45502,0000000000000000000,0,21350000000,21350000000,0,30000000000,30000000000
1260819,200847,"4141      ",ATM50K,"Z2Y6      ",47007,0000000800181276100,4895000000,0,4895000000,25000000000,0,25000000000
1260819,90915,"ZZY6      ",CRM,"W22Y      ",27517,0000000000000000000,4860000000,26000000000,30860000000,2000000000,4000000000,6000000000
1260819,123730,"ZZIU      ",CRM,"W32U      ",47007,0000000800164118500,12280000000,8950000000,21230000000,14000000000,7000000000,21000000000
1260819,185741,"H093      ",CRM,"W51Z      ",12007,0000000000000000000,3780000000,4930000000,8710000000,4000000000,6000000000,10000000000
1260819,122749,"ZZXT      ",CRM,"W48T      ",47007,0000000800164118500,0,0,0,0,0,0
1260819,91924,"H151      ",CRM,"W55G      ",29023,0000000000000000000,1675000000,15580000000,17255000000,5000000000,20000000000,25000000000
